Column 1,Score,Evidence,
Video,3,,
Workload spread - Contributions,3,https://github.com/mrpudlo/SE_Project1/graphs/contributors,
Number of commits,3,,
Number of commits: by different people,1,,Commits are not uniformly distributed
Issues reports,2,,
Isuues being closed,1,,There are issues which aren't closed yet
DOI badge: exists,3,,
"Docs: doco generated, format not ugly",2,,
Docs: what: point descriptions of each class/function (in isolation),3,,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",1,,There are no explicit tutorials explaining the wokflow
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",1,,Not a lot of information or interesting facts
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,,
Use of version control tools,3,,
Use of style checkers,0,,
Use of code formatters,0,,
Use of syntax checkers,0,,
Use of code coverage,0,,
Other automated analysis tools,,,
Test cases exist,3,,
Test cases are routinely executed,0,,
CONTRIBUTING.md coding standards,2,,
Issues are discussed before they are closed,0,,No discussions were done 
Chat channel: exists,0,,
Test cases: a large proportion of the issues related to handling failing cases.,1,,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people.",1,,No config file
Evidence that the members of the team are working across multiple places in the code base,3,,
Short release cycles,1,,Only 1 release was made
,,,
Q1 - What your software does,,,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/mrpudlo/SE_Project1#readme,
Does your website and documentation clearly describe the type of user who should use your software?,No,,
Do you publish case studies to show how your software has been used by yourself and others?,Yes,https://github.com/mrpudlo/SE_Project1#case-study-amazon-product-review-sentiment-and-text-analysis,
,,,
Q2 - Your project's and software's identity,,,
Is the name of your project/software unique?,Yes,,
Is your project/software name free from trademark violations?,No,,
,,,
Q3 - Availability of your software,,,
Is your software available as a package that can be deployed without building it?,No,,
Is your software available for free?,Yes,,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,https://github.com/mrpudlo/SE_Project1,
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,https://github.com/mrpudlo/SE_Project1,
,,,
Q4 - Your software's documentation,,,
Is your documentation clearly available on your website or within your software?,Yes,https://github.com/mrpudlo/SE_Project1/blob/master/README.md,
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,https://github.com/mrpudlo/SE_Project1/blob/master/README.md,
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",No,,README defines clearly how to execute and use the software
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,,
Do you store your documentation under revision control with your source code?,Yes,,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",No,,Only the release version is mentioned
,,,
Q5 - How you support your software,,,
Does your software describe how a user can get help with using your software?,No,,
"Does your website and documentation describe what support, if any, you provide to users and developers?",No,,
Does your project have an e-mail address or forum that is solely for supporting users?,No,,The build failure information is configured to be recieved by 5 email recipients but none of them are solely dedicated to support users/developers
Are e-mails to your support e-mail address received by more than one person?,No,,
Does your project have a ticketing system to manage bug reports and feature requests?,Yes,https://github.com/mrpudlo/SE_Project1/projects/1,
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,https://github.com/mrpudlo/SE_Project1/projects/1,
,,,
Q6 - Your software's maintainability,,,
Is your software’s architecture and design modular?,Yes,,
Does your software use an accepted coding standard or convention?,Yes,,
,,,
Q7 - Open standards and your software,,,
"Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Yes,,The project accepts URL as an iput and provides the analysis based on the data imported from the URL
"Does your software allow communications using open communications protocols? e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",No,,
,,,
Q8 - Your software's portability,,,
"Is your software cross-platform compatible? e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,,Runs both Windows and MacOS
,,,
Q9 - Your software and accessibility,,,
Does your software adhere to appropriate accessibility conventions or standards?,Yes,,
Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,,
,,,
Q10 - How you manage your source code,,,
Is your source code stored in a repository under revision control?,Yes,,
Is each source code release a snapshot of the repository?,Yes,,
Are releases tagged in the repository?,Yes,,Release tags have version specified
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,,Master is the stable build
Do you back-up your repository?,Yes,,
,,,
Q11 - Building and installing your software,,,
Do you provide publicly-available instructions for building your software from the source code?,Yes,,
"Can you build, or package, your software using an automated tool? e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",Yes,,Travis is being used for CI
Do you provide publicly-available instructions for deploying your software?,Yes,https://github.com/mrpudlo/SE_Project1/blob/master/README.md,
Does your documentation list all third-party dependencies?,Yes,https://github.com/mrpudlo/SE_Project1/blob/master/requirements.txt,
Does your documentation list the version number for all third-party dependencies?,Yes,https://github.com/mrpudlo/SE_Project1/blob/master/requirements.txt,
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or",No,,
