Column 1,Score,Evidence,Observations
Video,3,,
Workload spread - Contributions,3,https://github.com/lokesh45/StockPrediction/graphs/contributors,
Number of commits,3,,
Number of commits: by different people,2,,
Issues reports,3,,
Isuues being closed,3,,
DOI badge: exists,3,,
"Docs: doco generated, format not ugly",2,,
Docs: what: point descriptions of each class/function (in isolation),3,,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",1,,There are no explicit tutorials explaining the wokflow
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",1,,Not a lot of information or interesting facts
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,,
Use of version control tools,3,,
Use of style checkers,3,,
Use of code formatters,3,,
Use of syntax checkers,3,,
Use of code coverage,0,,
Other automated analysis tools,,,
Test cases exist,3,,
Test cases are routinely executed,0,,
CONTRIBUTING.md coding standards,2,,
Issues are discussed before they are closed,0,,No discussions were done 
Chat channel: exists,0,,
Test cases: a large proportion of the issues related to handling failing cases.,2,,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people.",1,,Config file updated by only 2 people
Evidence that the members of the team are working across multiple places in the code base,3,,
Short release cycles,1,,Only 2 releases were made
,,,
Q1 - What your software does,,,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/lokesh45/StockPrediction/blob/master/README.md,
Does your website and documentation clearly describe the type of user who should use your software?,Yes,,The video and the wiki mention that it is intented for those users looking to analyse and invest in stocks
Do you publish case studies to show how your software has been used by yourself and others?,Yes,https://github.com/lokesh45/StockPrediction/wiki,The project analyses AAN stock and displays its values pre and after covid and the future estimate of the stock
,,,
Q2 - Your project's and software's identity,,,
Is the name of your project/software unique?,No,,
Is your project/software name free from trademark violations?,No,,
,,,
Q3 - Availability of your software,,,
Is your software available as a package that can be deployed without building it?,Yes,,The product packages are dockerized which will enable deployment of the image without building it again
Is your software available for free?,Yes,,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,https://github.com/lokesh45/StockPrediction,
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,https://github.com/lokesh45/StockPrediction,
,,,
Q4 - Your software's documentation,,,
Is your documentation clearly available on your website or within your software?,Yes,https://github.com/lokesh45/StockPrediction/blob/master/README.md,
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,https://github.com/lokesh45/StockPrediction/wiki,
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",No,,README defines clearly how to execute and use the software
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,,
Do you store your documentation under revision control with your source code?,Yes,,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",No,,Only the release version is mentioned
,,,
Q5 - How you support your software,,,
Does your software describe how a user can get help with using your software?,No,,
"Does your website and documentation describe what support, if any, you provide to users and developers?",No,,
Does your project have an e-mail address or forum that is solely for supporting users?,No,,
Are e-mails to your support e-mail address received by more than one person?,No,,
Does your project have a ticketing system to manage bug reports and feature requests?,Yes,https://github.com/lokesh45/StockPrediction/projects/1,
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,https://github.com/lokesh45/StockPrediction/projects/1,
,,,
Q6 - Your software's maintainability,,,
Is your software’s architecture and design modular?,Yes,,
Does your software use an accepted coding standard or convention?,Yes,Prettier and Black Code Style used,
,,,
Q7 - Open standards and your software,,,
"Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",No,,
